#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-01-24T00:21:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e2a37fe0bc3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5e2a37fe0bc3&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Vmag&-out=B-V&-out=SpType&-out=RadVel&-out=RotVel&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=HD
#-out=ADS
#-out=VarID
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=Vmag
#-out=B-V
#-out=SpType
#-out=RadVel
#-out=RotVel
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	?Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	?Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	RadVel	(I4)	? Heliocentric Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	RotVel	(I3)	? Rotational velocity, v sin i	[ucd=phys.veloc.rotat]
_RAJ2000;_DEJ2000;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;GLON;GLAT;Vmag;B-V;SpType;RadVel;RotVel
184.000833;+14.898889;4663;  6    Com;106661;     ;         ;12 16 00.2;+14 53 56;267.16; 75.25; 5.10; 0.06;  A3V               ;  10;170
184.097917;-72.614722;4664;          ;106676;     ;         ;12 16 23.5;-72 36 53;300.28; -9.92; 6.22;-0.01;  A0V               ;  28;
183.922500;+72.550833;4665;          ;106677;     ;DK Dra   ;12 15 41.4;+72 33 03;126.66; 44.32; 6.29; 1.14;  K0IIIe+K0IIIe     ; -48;
184.031667;+40.660278;4666;  2    CVn;106690; 8489;         ;12 16 07.6;+40 39 37;148.99; 74.63; 5.66; 1.55;  M1III+F7V         ; -16;
184.085417;+23.945278;4667;  7    Com;106714;     ;         ;12 16 20.5;+23 56 43;232.90; 81.47; 4.95; 0.97;  G8IIIFe-0.5       ; -28; 17
184.125417;+33.061389;4668;          ;106760;     ;Var?     ;12 16 30.1;+33 03 41;172.65; 80.40; 5.00; 1.14;  K0.5IIIb          ; -42; 17
184.275000;-65.692778;4669;          ;106797;     ;         ;12 17 06.0;-65 41 34;299.41; -3.06; 6.06; 0.03;  A0V               ;  21;
184.263750;-16.693611;4670;          ;106819;     ; 5527    ;12 17 03.3;-16 41 37;291.17; 45.39; 6.05; 0.10;  A2IV              ; -12;
184.392083;-67.960833;4671;   Eps Mus;106849;     ;Eps Mus  ;12 17 34.1;-67 57 39;299.75; -5.30; 4.11; 1.58;  M5III             ;   7;
184.372917;+53.191111;4672;          ;106884;     ;         ;12 17 29.5;+53 11 28;134.24; 63.19; 5.81; 1.30;  K6III             ; -41;
184.377083;+28.937222;4673;          ;106887; 8501;         ;12 17 30.5;+28 56 14;197.38; 82.30; 5.70; 0.16;  A4m:              ;  -7; 75
184.586250;-79.312222;4674;   Bet Cha;106911;     ; 5532    ;12 18 20.7;-79 18 44;301.34;-16.54; 4.26;-0.12;  B5Vn              ;  23;255
184.447083;-36.093889;4675;          ;106922;     ;         ;12 17 47.3;-36 05 38;295.36; 26.28; 6.15; 0.01;  A0V               ; -14;
184.434583;+15.144167;4676;          ;106926;     ;         ;12 17 44.3;+15 08 39;268.05; 75.68; 6.34; 1.37;  K4III             ; -42;
184.537917; -3.954444;4677;          ;106975; 8505;         ;12 18 09.1;-03 57 16;287.17; 57.89; 6.99; 0.36;  F3V               ;   1;
184.540000; -3.948611;4678;          ;106976; 8505;         ;12 18 09.6;-03 56 55;287.17; 57.90; 6.54; 0.33;  F2V               ;  -1;
184.608750;-64.003056;4679;   Zet Cru;106983;     ;         ;12 18 26.1;-64 00 11;299.33; -1.36; 4.04;-0.17;  B2.5V             ;  16;113
184.631667;+30.249167;4680;          ;107054;     ;         ;12 18 31.6;+30 14 57;187.60; 82.14; 6.23; 0.30;  A9.5III           ; -18;140
184.667917; -0.787222;4681; 13    Vir;107070;     ;         ;12 18 40.3;-00 47 14;285.85; 60.99; 5.90; 0.17;  A5Vn              ; -14;195
184.748750;-55.143056;4682;          ;107079;     ; 5544    ;12 18 59.7;-55 08 35;298.27;  7.43; 5.00; 1.59;  M1III             ;  -7;
184.214167;+86.436111;4683;          ;107113;     ;         ;12 16 51.4;+86 26 10;123.56; 30.65; 6.33; 0.43;  F4V               ;  -6;
184.758750;+26.007778;4684;          ;107131;     ;FM Com   ;12 19 02.1;+26 00 28;219.89; 82.67; 6.48; 0.18;  A5-7mIV-V         ;   1;175
184.829583;+23.034722;4685;  8    Com;107168;     ;         ;12 19 19.1;+23 02 05;240.56; 81.66; 6.27; 0.17;  A5III vs          ;   1; 12
183.834583;+87.700000;4686;          ;107192;     ;         ;12 15 20.3;+87 42 00;123.35; 29.40; 6.28; 0.35;  F2V               ;  -4; 67
184.707917;+75.160556;4687;          ;107193;     ;         ;12 18 49.9;+75 09 38;125.72; 41.79; 5.38;-0.02;  A1V               ;  -3;217
184.873333;+28.156944;4688;  9    Com;107213;     ;         ;12 19 29.6;+28 09 25;202.80; 82.85; 6.33; 0.50;  F8V s             ;  -8;  8
184.976667; -0.666944;4689; 15Eta Vir;107259;     ; 5555    ;12 19 54.4;-00 40 01;286.40; 61.19; 3.89; 0.02;  A2IV              ;   2; 34
184.952917;+48.984167;4690;  3    CVn;107274;     ;         ;12 19 48.7;+48 59 03;136.46; 67.31; 5.29; 1.66;  M0III             ;   8;
185.044583;-22.175556;4691;          ;107295; 8515;         ;12 20 10.7;-22 10 32;293.46; 40.12; 5.97; 0.82;  G3IV              ;  -1;
185.116667;-65.842778;4692;          ;107301;     ;         ;12 20 28.0;-65 50 34;299.77; -3.16; 6.21;-0.04;  B9V               ;  -8;
185.082083;+26.619444;4693;          ;107325;     ; 5559    ;12 20 19.7;+26 37 10;215.35; 83.05; 5.54; 1.09;  K2III-IV          ; -13;
185.073750;+26.001944;4694;          ;107326;     ; 5557    ;12 20 17.7;+26 00 07;220.37; 82.95; 6.15; 0.30;  F0IV              ;   8;109
185.087500; +3.312500;4695; 16    Vir;107328;     ;         ;12 20 21.0;+03 18 45;284.27; 65.05; 4.96; 1.16;  K0-IIIbFe-1       ;  36; 19
185.140417;-22.215833;4696;  5Zet Crv;107348; 8517;         ;12 20 33.7;-22 12 57;293.58; 40.09; 5.21;-0.10;  B8Vne             ;  -6;
185.179167;+17.792778;4697; 11    Com;107383; 8521;         ;12 20 43.0;+17 47 34;264.15; 78.28; 4.74; 1.01;  G8+III            ;  42; 19
185.172083;+27.054722;4698;          ;107398; 8519;         ;12 20 41.3;+27 03 17;211.78; 83.16; 7.13; 0.36;  F3V+F3V           ; -15;
185.232083;-13.565556;4699;          ;107418;     ; 5564    ;12 20 55.7;-13 33 56;291.67; 48.64; 5.14; 1.05;  K1III             ;  13; 19
185.340000;-60.401111;4700;   Eps Cru;107446;     ; 5568    ;12 21 21.6;-60 24 04;299.23;  2.25; 3.59; 1.42;  K3-4III           ;  -5;
185.211667;+57.863889;4701; 70    UMa;107465;     ;         ;12 20 50.8;+57 51 50;130.79; 58.79; 5.55; 1.43;  K5III             ; -43;
185.489583;-56.374722;4702;          ;107543;     ;         ;12 21 57.5;-56 22 29;298.83;  6.26; 5.92; 1.57;  K4III+F:          ;  -1;
185.530417;-67.521944;4703;   Zet2Mus;107566;     ;         ;12 22 07.3;-67 31 19;300.13; -4.81; 5.15; 0.19;  A5V               ; -17; 86
185.549583;-68.307500;4704;   Zet1Mus;107567;     ;         ;12 22 11.9;-68 18 27;300.22; -5.59; 5.74; 1.04;  K0III             ;  20;
185.545000;+24.773889;4705;          ;107655;     ;         ;12 22 10.8;+24 46 26;231.00; 83.02; 6.19;-0.01;  A0V               ;  -4; 53
185.705417;-57.676111;4706;          ;107696;     ;Var?     ;12 22 49.3;-57 40 34;299.10;  4.98; 5.39;-0.10;  B9V               ;  -5;
185.626250;+25.846111;4707; 12    Com;107700; 8530; 5581    ;12 22 30.3;+25 50 46;222.50; 83.40; 4.81; 0.49;  G0III-IV+A3V      ;   1; 35
185.633333; +5.305556;4708; 17    Vir;107705; 8531; 5579    ;12 22 32.0;+05 18 20;284.15; 67.12; 6.40; 0.60;  F8V               ;   5; 10
186.406250;-86.150556;4709;          ;107739;     ;         ;12 25 37.5;-86 09 02;302.46;-23.30; 6.33; 1.08;  K0III             ;  25;
185.807500;-67.631667;4710;          ;107773;     ;         ;12 23 13.8;-67 37 54;300.26; -4.91; 6.36; 0.89;  G8-K0IV           ;  31;
185.840000;-24.840556;4711;  6    Crv;107815;     ;         ;12 23 21.6;-24 50 26;294.89; 37.59; 5.68; 1.16; gK1                ;  -2;
185.897500;-35.412778;4712;          ;107832;     ;         ;12 23 35.4;-35 24 46;296.56; 27.11; 5.32;-0.08;  B9III             ; -10; 45
185.903750;-39.303056;4713;          ;107833;     ;         ;12 23 36.9;-39 18 11;297.08; 23.25; 6.40; 0.29;  F2V               ; -13;
185.937083;-38.911111;4714;          ;107860;     ;         ;12 23 44.9;-38 54 40;297.06; 23.64; 5.79;-0.08;  B9V               ;  -8;
185.945833;+42.542778;4715;  4    CVn;107904;     ;AI CVn   ;12 23 47.0;+42 32 34;141.22; 73.59; 6.06; 0.33;  F3III-IV          ;   0; 73
186.006250;+51.562222;4716;  5    CVn;107950;     ;Var      ;12 24 01.5;+51 33 44;133.05; 65.02; 4.80; 0.87;  G6IIIBa0.2        ; -12; 17
186.077083;+26.098611;4717; 13    Com;107966;     ;GN Com   ;12 24 18.5;+26 05 55;221.04; 83.85; 5.18; 0.08;  A3V               ;   1; 54
186.186250;-41.384167;4718;          ;107998;     ;         ;12 24 44.7;-41 23 03;297.57; 21.21; 6.25; 1.18;  K2-3III           ;   1;
186.111250;+25.582778;4719;          ;108007; 8539;         ;12 24 26.7;+25 34 58;225.75; 83.76; 6.42; 0.27;  A7V+F4V           ;  -6;148
186.322083;-65.770556;4720;          ;108054;     ;         ;12 25 17.3;-65 46 14;300.25; -3.03; 6.30; 0.96;  G8-K0IV           ;  25;
186.285417;-42.514444;4721;          ;108063;     ;         ;12 25 08.5;-42 30 52;297.78; 20.09; 6.11; 0.65;  G5III+F-G         ;  34;
186.298750;-11.610278;4722;          ;108107;     ;         ;12 25 11.7;-11 36 37;292.75; 50.74; 5.95; 0.03;  A1V               ;  -3;160
186.326667;-27.749167;4723;          ;108110;     ;         ;12 25 18.4;-27 44 57;295.89; 34.77; 6.09; 1.27;  K1III             ;  10;
186.340833;-35.186389;4724;          ;108114;     ; 5610    ;12 25 21.8;-35 11 11;296.93; 27.38; 5.73;-0.06;  B9III             ; -11;
186.312917;+23.926111;4725;          ;108123;     ;         ;12 25 15.1;+23 55 34;239.94; 83.28; 6.03; 1.10;  K0III             ;  -5;
186.263333;+56.777500;4726; 71    UMa;108135;     ;         ;12 25 03.2;+56 46 39;130.16; 59.98; 5.81; 1.62;  M3IIIb            ; -17;
186.276667;+63.802778;4727;          ;108150;     ;         ;12 25 06.4;+63 48 10;127.76; 53.08; 6.32; 0.91;  G8III             ;  -4;
186.462083;+39.018611;4728;  6    CVn;108225;     ;         ;12 25 50.9;+39 01 07;145.50; 76.97; 5.02; 0.96;  G9III             ;  -4; 19
186.628750;-63.122500;4729;          ;108250;     ;         ;12 26 30.9;-63 07 21;300.12; -0.39; 4.86;-0.12;  B4IV              ;  27;137
186.649583;-63.099167;4730;   Alp1Cru;108248;     ;         ;12 26 35.9;-63 05 57;300.13; -0.36; 1.33;-0.24;  B0.5IV            ; -11;117
186.652083;-63.099444;4731;   Alp2Cru;108249;     ;         ;12 26 36.5;-63 05 58;300.13; -0.36; 1.73;-0.26;  B1V               ;  -1;197
186.631667;-51.450833;4732;          ;108257;     ;         ;12 26 31.6;-51 27 03;298.98; 11.23; 4.82;-0.14;  B3Vn              ;   5;312
186.600417;+27.268333;4733; 14    Com;108283;     ;         ;12 26 24.1;+27 16 06;210.06; 84.43; 4.95; 0.27;  F0p               ;  -4;227
186.700833;-48.913333;4734;          ;108309;     ;         ;12 26 48.2;-48 54 48;298.78; 13.76; 6.26; 0.68;  G3-5V             ;  30;
186.715417;-32.830000;4735;          ;108323;     ;         ;12 26 51.7;-32 49 48;296.99; 29.76; 5.55; 0.01;  B9V               ; -15;
186.852500;-63.789167;4736;          ;108355;     ;         ;12 27 24.6;-63 47 21;300.28; -1.04; 6.00; 0.07;  B8IV              ;  42;
186.734583;+28.268333;4737; 15Gam Com;108381;     ;         ;12 26 56.3;+28 16 06;199.63; 84.46; 4.36; 1.13;  K1IIIFe0.5        ;   4; 17
186.747083;+26.825556;4738; 16    Com;108382;     ;         ;12 26 59.3;+26 49 32;214.72; 84.55; 5.00; 0.08;  A4V               ;   2; 89
186.869583;-58.991944;4739;          ;108396;     ;BL Cru   ;12 27 28.7;-58 59 31;299.84;  3.74; 5.50; 1.45;  M4-5III           ;  72;
186.600833;+71.929722;4740;          ;108399;     ;         ;12 26 24.2;+71 55 47;125.67; 45.06; 6.24; 1.06; gG8                ;   6;
186.925417; +8.610278;4741;          ;108471;     ;         ;12 27 42.1;+08 36 37;284.96; 70.65; 6.37; 0.93;  G8III             ;  -6;
186.955833;-16.631944;4742;          ;108477;     ;         ;12 27 49.4;-16 37 55;294.80; 45.87; 6.35; 0.84;  G3III             ;  -8;
187.010000;-50.230556;4743;   Sig Cen;108483;     ;         ;12 28 02.4;-50 13 50;299.10; 12.47; 3.91;-0.19;  B2V               ;   8;245
187.078750;-64.341389;4744;          ;108501;     ;         ;12 28 18.9;-64 20 29;300.43; -1.58; 6.04; 0.02;  A0Vn              ;   9;
186.896250;+55.712778;4745; 73    UMa;108502;     ;         ;12 27 35.1;+55 42 46;129.89; 61.09; 5.70; 1.55;  M2IIIb            ;  17;
186.965000; -4.615278;4746;          ;108506;     ;FT Vir   ;12 27 51.6;-04 36 55;291.87; 57.75; 6.22; 0.44;  A8n               ; -12;139
187.106250;-61.795278;4747;          ;108530;     ;         ;12 28 25.5;-61 47 43;300.22;  0.96; 6.22; 1.26;  K2III             ; -14;
187.093750;-39.041389;4748;          ;108541;     ;         ;12 28 22.5;-39 02 29;298.05; 23.61; 5.44;-0.08;  B8V               ;   5;174
187.139167;-56.407778;4749;          ;108570;     ;         ;12 28 33.4;-56 24 28;299.75;  6.33; 6.15; 0.92;  K0-1III           ;   8;
187.158750;+26.226667;4750;          ;108642;     ;         ;12 28 38.1;+26 13 36;221.68; 84.83; 6.54; 0.17;  A2m               ;   2; 12
187.185833;+25.899167;4751;          ;108651; 8568;         ;12 28 44.6;+25 53 57;225.26; 84.78; 6.65; 0.22;  Am(A2/A9V/F0)     ;  -2; 12
187.227917;+25.912778;4752; 17    Com;108662; 8568;AI Com   ;12 28 54.7;+25 54 46;225.22; 84.82; 5.29;-0.05;  A1IVp             ;  -3; 18
187.362083;+24.108889;4753; 18    Com;108722;     ;         ;12 29 26.9;+24 06 32;243.07; 84.20; 5.48; 0.43;  F5III             ;  25; 93
187.474583;-56.524722;4754;          ;108732;     ;         ;12 29 53.9;-56 31 29;299.95;  6.22; 5.80; 1.56;  M1III             ;  42;
187.491250;-41.736111;4755;          ;108759;     ; 5655    ;12 29 57.9;-41 44 10;298.64; 20.96; 6.02; 1.52;  M2II-III          ;   3;
187.430000;+20.896111;4756; 20    Com;108765;     ;         ;12 29 43.2;+20 53 46;263.27; 82.04; 5.69; 0.07;  A3V               ;  -5;
187.466250;-16.515556;4757;  7Del Crv;108767; 8572; 5656    ;12 29 51.9;-16 30 56;295.48; 46.05; 2.95;-0.05;  B9.5V             ;   9;148
187.520000;-13.393056;4758;          ;108799; 8573;         ;12 30 04.8;-13 23 35;294.98; 49.15; 6.35; 0.56;  G0V               ;   0;
187.572917;-23.696667;4759;          ;108821;     ; 5662    ;12 30 17.5;-23 41 48;296.71; 38.92; 5.63; 1.67;  M0III             ; -11;
187.488750;+58.405833;4760; 74    UMa;108844;     ;         ;12 29 57.3;+58 24 21;128.32; 58.50; 5.35; 0.20;  A5Del Del         ;   7; 87
187.512083;+51.535556;4761;  7    CVn;108845;     ;         ;12 30 02.9;+51 32 08;130.89; 65.26; 6.21; 0.51;  F6-8V             ;  19; 10
187.517917;+58.767500;4762; 75    UMa;108861;     ;         ;12 30 04.3;+58 46 03;128.18; 58.14; 6.08; 0.98;  G8III-IV          ; -17;
187.791250;-57.113333;4763;   Gam Cru;108903;     ; 5672    ;12 31 09.9;-57 06 48;300.17;  5.65; 1.63; 1.59;  M3.5III           ;  21;
187.819583;-57.081111;4764;   Gam Cru;108925;     ;         ;12 31 16.7;-57 04 52;300.18;  5.68; 6.42; 0.16;  A3V               ;   2;
187.527917;+69.201111;4765;  4    Dra;108907;     ;CQ Dra   ;12 30 06.7;+69 12 04;125.75; 47.81; 4.95; 1.62;  M3IIIa            ; -13;
187.752500;+24.567222;4766; 21    Com;108945;     ;UU Com   ;12 31 00.6;+24 34 02;240.93; 84.74; 5.46; 0.05;  A2p               ;   0; 63
187.708750;+53.076667;4767;          ;108954;     ;         ;12 30 50.1;+53 04 36;129.94; 63.77; 6.21; 0.54;  F8-G0V            ; -21;  6
187.917917;-59.423889;4768;          ;108968;     ;BG Cru   ;12 31 40.3;-59 25 26;300.42;  3.35; 5.48; 0.63;  F7Ib-II           ; -20;
188.041667;-73.001667;4769;          ;108970;     ;         ;12 32 10.0;-73 00 06;301.50;-10.18; 5.88; 1.11;  K1III             ;   5;
187.839167; +7.604167;4770;          ;108985;     ;         ;12 31 21.4;+07 36 15;288.31; 69.90; 6.05; 1.52;  K5                ; -17;
187.982500;-63.506111;4771;          ;109000;     ;         ;12 31 55.8;-63 30 22;300.76; -0.72; 5.95; 0.27;  A8III             ;   4;
187.911250; -5.052500;4772;          ;109014;     ;         ;12 31 38.7;-05 03 09;293.74; 57.47; 6.19; 1.04; gG9                ;   2;
188.116667;-72.133056;4773;   Gam Mus;109026;     ;         ;12 32 28.0;-72 07 59;301.46; -9.32; 3.87;-0.15;  B5V               ;   3;188
188.018750;-32.533611;4774;          ;109074;     ;         ;12 32 04.5;-32 32 01;298.21; 30.16; 6.46; 0.20;  A3V               ;  -9;
188.017500;-16.196111;4775;  8Eta Crv;109085;     ; 5690    ;12 32 04.2;-16 11 46;296.19; 46.42; 4.31; 0.38;  F2III-IV          ;  -4; 59
188.150000;-13.859167;4776;          ;109141;     ;         ;12 32 36.0;-13 51 33;295.99; 48.76; 5.74; 0.40;  F2V               ;  -1;
188.262083;+10.295556;4777; 20    Vir;109217;     ;         ;12 33 02.9;+10 17 44;287.63; 72.62; 6.26; 0.95;  G8III             ;   1;
188.343333;-19.791944;4778;          ;109238;     ; 5715    ;12 33 22.4;-19 47 31;297.13; 42.88; 6.26; 0.29;  F2V               ;   5; 90
188.392917;-12.830278;4779;          ;109272;     ;         ;12 33 34.3;-12 49 49;296.18; 49.81; 5.58; 0.86;  G8III             ; -16;
188.392500;+24.283056;4780; 22    Com;109307;     ;         ;12 33 34.2;+24 16 59;247.20; 85.07; 6.29; 0.11;  A4Vm              ;   2;  8
188.445000; -9.451944;4781; 21    Vir;109309;     ;         ;12 33 46.8;-09 27 07;295.66; 53.17; 5.48;-0.03;  A0V               ; -11;110
188.496667;-49.909444;4782;          ;109312;     ;         ;12 33 59.2;-49 54 34;300.05; 12.87; 6.38; 0.46;  F3III-IV          ;  18;
188.412083;+33.247500;4783;          ;109317;     ;         ;12 33 38.9;+33 14 51;153.97; 82.78; 5.42; 1.00;  K0IIICN-1         ; -20; 19
188.447500;+33.384722;4784;          ;109345;     ;         ;12 33 47.4;+33 23 05;153.19; 82.68; 6.24; 1.05;  K0III             ; -43;
188.435417;+41.357500;4785;  8Bet CVn;109358;     ; 5725    ;12 33 44.5;+41 21 27;136.10; 75.32; 4.26; 0.59;  G0V               ;   7;  3
188.596667;-23.396667;4786;  9Bet Crv;109379;     ; 5729    ;12 34 23.2;-23 23 48;297.87; 39.31; 2.65; 0.89;  G5II              ;  -8; 17
188.370833;+69.788333;4787;  5Kap Dra;109387;     ;Kap Dra  ;12 33 29.0;+69 47 18;125.21; 47.26; 3.87;-0.13;  B6IIIpe           ; -11;249
188.676250;-44.673333;4788;          ;109409;     ;         ;12 34 42.3;-44 40 24;299.80; 18.10; 5.77; 0.70;  G1V               ;  18;
188.712917;+22.629167;4789; 23    Com;109485;     ;         ;12 34 51.1;+22 37 45;262.15; 84.14; 4.81; 0.00;  A0IV              ; -16; 66
188.870833;-61.841944;4790;          ;109492;     ;         ;12 35 29.0;-61 50 31;301.05;  0.97; 6.22; 0.73;  G3III             ;   6;
188.776250;+18.377222;4791; 24    Com;109510; 8600; 5745    ;12 35 06.3;+18 22 38;278.83; 80.48; 6.56; 0.25;  A9Vm              ;   5; 25
188.782500;+18.376944;4792; 24    Com;109511; 8600; 5748    ;12 35 07.8;+18 22 37;278.86; 80.48; 5.02; 1.15;  K2III             ;   4; 25
188.783750;+21.881389;4793;          ;109519;     ;         ;12 35 08.1;+21 52 53;266.81; 83.58; 5.85; 1.22;  K1III             ; -14;
188.939583;-41.021944;4794;          ;109536;     ;Var?     ;12 35 45.5;-41 01 19;299.75; 21.75; 5.13; 0.22;  A7III             ; -11; 94
188.683333;+70.021944;4795;  6    Dra;109551;     ;         ;12 34 44.0;+70 01 19;125.02; 47.04; 4.94; 1.31;  K3III*            ;   5;
189.005000;-39.870000;4796;          ;109573;     ;         ;12 36 01.2;-39 52 12;299.72; 22.91; 5.80; 0.01;  A0V               ;   6;
188.994167;-20.527222;4797;          ;109585;     ;TU Crv   ;12 35 58.6;-20 31 38;298.04; 42.20; 6.20; 0.33;  F0III             ;  -2; 67
189.295833;-69.135556;4798;   Alp Mus;109668;     ;Alp Mus  ;12 37 11.0;-69 08 08;301.66; -6.30; 2.69;-0.20;  B2IV-V            ;  13;147
189.197500; -5.831944;4799; 25    Vir;109704;     ;         ;12 36 47.4;-05 49 55;296.26; 56.85; 5.87; 0.07;  A3V               ;  -6;
189.097083;+59.486944;4800;          ;109729;     ;T UMa    ;12 36 23.3;+59 29 13;126.49; 57.54; 5.50;     ;  M4IIIe            ; -91;
189.242917;+17.089444;4801; 25    Com;109742;     ;         ;12 36 58.3;+17 05 22;283.77; 79.42; 5.68; 1.41;  K5III             ;  -8;
189.425833;-48.541111;4802;   Tau Cen;109787;     ;         ;12 37 42.2;-48 32 28;300.59; 14.27; 3.86; 0.05;  A2V               ;   5;281
189.425833;-27.138889;4803;          ;109799; 8612;         ;12 37 42.2;-27 08 20;299.17; 35.63; 5.45; 0.32;  F1IV              ;  -1;  0
189.810417;-75.369444;4804;          ;109857;     ;         ;12 39 14.5;-75 22 10;302.14;-12.52; 6.49; 0.08;  B8Vne             ; -20;
189.518333; +3.282500;4805;          ;109860;     ;         ;12 38 04.4;+03 16 57;294.73; 65.94; 6.33; 0.01;  A1V               ;  -8; 24
189.718750;-67.193056;4806;          ;109867;     ;         ;12 38 52.5;-67 11 35;301.71; -4.35; 6.25; 0.06;  B1Ia              ; -16; 88
189.593333; +1.854722;4807;          ;109896;     ;FW Vir   ;12 38 22.4;+01 51 17;295.32; 64.53; 5.71; 1.60;  M3+IIIbCa0.5      ; -16;
189.625000; +6.988333;4808;          ;109914;     ;R Vir    ;12 38 30.0;+06 59 18;293.68; 69.63; 7.08; 1.44;  M4.5IIIe          ; -26;
189.685833;-18.250278;4809;          ;109931;     ;         ;12 38 44.6;-18 15 01;298.71; 44.52; 6.00; 0.29; dA6                ; -13;
189.764583;-30.422222;4810;          ;109960;     ; 5822    ;12 39 03.5;-30 25 20;299.77; 32.37; 5.89; 1.21;  K2-3III           ; -13;
189.692917;+40.874444;4811;  9    CVn;109980;     ;         ;12 38 46.3;+40 52 28;132.88; 76.01; 6.37; 0.18;  A7Vn              ; -15;220
189.758750;+22.659444;4812;          ;109996;     ;         ;12 39 02.1;+22 39 34;270.09; 84.72; 6.38; 1.10;  K1III             ; -27;
189.811667; -7.995556;4813; 26Chi Vir;110014;     ;         ;12 39 14.8;-07 59 44;297.70; 54.75; 4.66; 1.23;  K2III-IIIbCN1     ; -20; 17
189.981667;-66.511667;4814;          ;110020;     ;FH Mus   ;12 39 55.6;-66 30 42;301.78; -3.67; 6.26;-0.05;  B8V               ;  -3;
189.780417;+21.062500;4815; 26    Com;110024;     ;         ;12 39 07.3;+21 03 45;277.43; 83.32; 5.46; 0.96;  G9III             ; -21;
189.820417;+35.951944;4816;          ;110066;     ;AX CVn   ;12 39 16.9;+35 57 07;138.51; 80.81; 6.45; 0.06;  A0pSrCrEu         ; -15; 13
189.968750;-39.987500;4817;          ;110073;     ; 5835    ;12 39 52.5;-39 59 15;300.53; 22.83; 4.64;-0.08;  B8II/III          ;  15; 57
190.345833;-46.145556;4818;          ;110287;     ;         ;12 41 23.0;-46 08 44;301.12; 16.69; 5.84; 1.52;  K4III             ;   7;
190.379167;-48.959722;4819;   Gam Cen;110304;     ;         ;12 41 31.0;-48 57 35;301.26; 13.88; 2.17;-0.01;  A1IV              ;  -6; 81
190.521250;-69.407500;4820;          ;110311;     ;R Mus    ;12 42 05.1;-69 24 27;302.10; -6.55; 6.33; 0.78;  F7Ib-G2           ;   4;
190.316667;-13.013611;4821;          ;110317; 8627; 5855    ;12 41 16.0;-13 00 49;299.10; 49.78; 6.08;     ;  F3Vn              ; -14;
